bairro,area_m2,quartos,banheiros,vagas,andar,idade_anos,preco
Copacabana,346,5,6,2,11,,4639038.68
Botafogo,179,3,3,2,5,38.0,2022789.31
Recreio,131,1,1,3,12,53.0,878232.78
Copacabana,156,4,6,1,23,53.0,1448394.95
Tijuca,53,1,1,2,6,57.0,235331.63
Jacarepagua,126,3,3,0,10,6.0,725562.32
Santa Teresa,105,4,5,1,7,2.0,952052.21
Ipanema,286,4,6,2,7,34.0,4921714.0
Meier,43,3,4,0,16,57.0,189874.22
Grajau,163,2,4,1,9,59.0,909589.21
Vila Isabel,281,5,6,0,15,16.0,2152259.02
Grajau,295,1,1,3,0,22.0,1858600.75
Leblon,191,1,3,2,16,39.0,4402486.03
Vila Isabel,97,1,3,2,2,54.0,414198.46
Santa Teresa,134,5,6,2,9,10.0,1052528.24
Tijuca,97,3,3,0,21,58.0,529594.06
Jacarepagua,240,1,2,0,8,49.0,1265133.33
Jacarepagua,120,1,2,1,17,4.0,649076.26
Jacarepagua,229,1,1,0,8,50.0,1019993.63
Tijuca,238,5,6,1,22,38.0,1157206.09
Santa Teresa,330,3,3,1,23,58.0,2276288.98
Santa Teresa,145,1,1,3,22,12.0,1436700.77
Barra da Tijuca,337,2,4,1,9,59.0,3668501.31
Vila Isabel,155,4,5,0,7,2.0,1158170.45
Barra da Tijuca,246,3,5,3,15,4.0,3793295.7
Laranjeiras,240,5,6,0,20,26.0,2410965.59
Meier,290,1,3,0,13,39.0,1493455.14
Jacarepagua,177,1,1,1,18,10.0,1211691.27
Ipanema,282,1,3,0,21,16.0,4652737.9
Centro,140,2,2,3,18,23.0,785973.31
Tijuca,184,4,4,1,9,7.0,1406289.36
Botafogo,187,4,5,3,6,10.0,1911419.69
Leblon,253,2,3,0,10,8.0,4292354.39
Santa Teresa,225,4,4,2,14,,1121982.22
Ipanema,50,4,6,0,21,,740740.81
Laranjeiras,287,1,1,0,7,37.0,2612346.06
Vila Isabel,271,4,6,1,4,41.0,1430401.95
Copacabana,58,3,3,3,7,8.0,978345.66
Meier,337,1,1,1,14,3.0,1683983.45
Meier,239,2,2,3,5,22.0,1279185.66
Barra da Tijuca,52,4,5,0,9,,594483.99
Flamengo,184,4,5,1,6,28.0,1890409.6
Recreio,296,2,2,2,24,48.0,2352054.77
Recreio,115,4,5,1,12,22.0,1070217.48
Recreio,328,2,4,2,18,18.0,2788395.47
Vila Isabel,160,3,3,2,13,48.0,1051742.09
Centro,98,1,1,0,0,28.0,603010.18
Barra da Tijuca,140,5,6,2,6,43.0,1283445.26
Grajau,195,5,6,3,20,43.0,1235531.23
Vila Isabel,248,1,1,3,12,43.0,1030026.36
Grajau,326,3,3,1,17,40.0,2432924.46
Flamengo,88,4,4,1,19,48.0,756967.91
Barra da Tijuca,337,3,4,3,14,27.0,4875192.16
Laranjeiras,196,2,2,3,14,18.0,1783289.14
Tijuca,66,5,6,3,5,30.0,311186.23
Tijuca,326,2,3,3,6,19.0,3180733.07
Recreio,138,2,2,1,3,2.0,1201865.95
Santa Teresa,226,2,4,0,7,21.0,1423523.85
Meier,251,5,6,0,15,30.0,1478227.04
Barra da Tijuca,29,3,5,1,23,31.0,463670.44
Recreio,97,4,6,3,10,,755492.97
Tijuca,248,5,5,1,15,43.0,1546241.76
Centro,130,5,6,1,21,17.0,816798.36
Barra da Tijuca,28,5,5,3,16,38.0,265362.71
Meier,32,5,5,0,6,16.0,149499.42
Barra da Tijuca,293,5,6,2,7,59.0,3522216.63
Tijuca,74,5,6,2,15,38.0,473682.61
Santa Teresa,57,4,5,3,7,33.0,344576.1
Barra da Tijuca,207,1,2,1,6,25.0,2260815.63
Ipanema,63,1,2,2,14,45.0,1091697.1
Barra da Tijuca,237,4,5,3,15,25.0,2039123.8
Jacarepagua,201,2,3,3,6,48.0,980117.4
Ipanema,235,5,6,2,1,9.0,5559283.42
Tijuca,184,5,6,2,19,49.0,1488460.46
Leblon,277,4,5,3,9,57.0,4944777.75
Jacarepagua,234,4,4,3,15,14.0,1680822.5
Flamengo,159,2,2,2,4,13.0,1813630.37
Santa Teresa,29,3,3,1,7,57.0,168444.75
Barra da Tijuca,113,5,6,2,15,24.0,1582448.29
Vila Isabel,67,5,5,0,3,41.0,445696.3
Botafogo,30,2,2,2,7,11.0,261580.06
Laranjeiras,113,5,6,1,17,25.0,1107308.48
Meier,92,3,3,3,19,42.0,461448.8
Laranjeiras,49,5,6,2,8,53.0,361334.52
Laranjeiras,126,3,3,3,2,,1054112.61
Jacarepagua,189,4,6,3,0,4.0,1149938.92
Botafogo,82,1,1,3,13,24.0,885369.95
Jacarepagua,113,2,3,0,17,38.0,695841.07
Vila Isabel,31,4,6,3,14,52.0,170951.72
Santa Teresa,41,5,5,1,10,50.0,251408.17
Grajau,76,1,2,2,0,45.0,360355.06
Leblon,172,1,3,1,5,9.0,3441569.47
Meier,241,4,4,1,0,,1163925.27
Ipanema,281,3,3,3,11,34.0,3959955.61
Flamengo,229,5,6,3,7,28.0,2327530.31
Santa Teresa,225,1,1,2,1,55.0,1396129.21
Copacabana,329,2,4,0,15,57.0,3555042.0
Centro,108,1,3,0,9,12.0,575536.22
Santa Teresa,284,4,6,0,24,57.0,1592608.73
Vila Isabel,329,5,6,3,10,50.0,1971048.52
Barra da Tijuca,209,1,3,1,2,42.0,2210153.27
Ipanema,298,2,3,0,17,22.0,5022398.49
Grajau,69,5,6,2,17,45.0,448706.0
Grajau,310,1,2,3,23,35.0,2194179.43
Meier,208,5,6,2,17,53.0,740464.26
Santa Teresa,96,5,5,1,9,42.0,765706.8
Copacabana,45,1,3,0,16,57.0,391317.78
Centro,258,1,2,3,19,25.0,1861391.78
Copacabana,165,4,6,0,12,,1645392.78
Santa Teresa,125,1,2,3,19,29.0,980798.52
Flamengo,151,3,3,0,24,59.0,1159098.69
Grajau,347,1,2,0,18,39.0,1499845.68
Meier,164,3,5,1,12,42.0,829909.91
Ipanema,50,2,3,0,12,37.0,553127.96
Copacabana,115,4,6,0,20,35.0,1197559.65
Barra da Tijuca,72,5,5,0,21,3.0,1187515.51
Laranjeiras,247,3,5,2,6,24.0,1957770.15
Leblon,285,4,6,3,0,5.0,5284537.08
Vila Isabel,298,4,6,0,20,20.0,2147848.14
Botafogo,230,5,5,2,5,43.0,1959509.62
Jacarepagua,274,2,3,1,24,48.0,1314348.37
Botafogo,160,2,2,1,0,13.0,1960319.14
Recreio,229,2,3,1,22,39.0,1434758.75
Recreio,59,4,6,3,16,13.0,471501.92
Copacabana,199,5,6,2,7,12.0,2625235.73
Meier,206,2,4,2,0,57.0,660395.84
Laranjeiras,35,1,3,3,21,36.0,381509.27
Santa Teresa,203,4,6,2,2,11.0,1499608.89
Tijuca,259,3,5,0,2,,2130517.03
Grajau,144,2,3,0,19,2.0,1235721.82
Grajau,202,1,3,1,16,29.0,1275861.53
Santa Teresa,117,5,5,0,3,6.0,855324.56
Barra da Tijuca,112,5,6,2,8,35.0,1241196.99
Vila Isabel,67,4,5,1,16,26.0,452939.91
Meier,131,3,5,0,16,38.0,537032.84
Copacabana,286,2,3,1,9,12.0,2762780.12
Tijuca,329,3,3,3,10,8.0,3040975.26
Flamengo,231,1,3,3,1,6.0,2003680.09
Leblon,227,2,4,3,0,5.0,5127763.13
Recreio,224,3,3,3,24,4.0,2026444.52
Laranjeiras,179,3,3,2,5,15.0,1574107.87
Leblon,162,1,2,3,23,48.0,3668128.81
Jacarepagua,226,5,6,3,1,36.0,1103203.38
Botafogo,279,2,3,2,24,15.0,3009305.56
Meier,159,3,3,1,10,55.0,638780.14
Botafogo,208,3,4,3,20,,1803219.14
Santa Teresa,177,3,4,1,21,46.0,1083704.45
Ipanema,117,5,6,0,8,53.0,1489222.99
Santa Teresa,119,4,5,0,18,44.0,1011318.34
Laranjeiras,50,5,6,2,8,57.0,390905.75
Vila Isabel,167,2,2,0,19,19.0,1020004.0
Vila Isabel,256,2,3,0,23,51.0,1585776.22
Leblon,247,3,4,0,20,6.0,4417676.98
Grajau,345,3,3,2,18,18.0,2889741.43
Meier,37,2,4,1,9,53.0,186668.82
Santa Teresa,272,3,5,2,2,8.0,2817598.86
Grajau,283,1,1,2,12,30.0,2055705.84
Meier,166,3,4,3,3,20.0,888725.21
Barra da Tijuca,116,4,6,0,12,6.0,1850817.53
Ipanema,141,3,3,1,21,14.0,2363342.56
Ipanema,246,5,5,2,2,32.0,3533895.13
Barra da Tijuca,305,5,6,1,22,37.0,3552370.93
Vila Isabel,233,5,5,0,14,40.0,1562607.17
Jacarepagua,192,1,2,0,1,7.0,973805.38
Jacarepagua,237,5,5,1,18,19.0,1200304.71
Botafogo,47,2,4,1,0,6.0,519283.22
Meier,222,3,4,0,15,0.0,1453846.89
Centro,38,3,3,1,12,23.0,191329.85
Santa Teresa,336,2,4,2,18,37.0,2628016.93
Flamengo,313,5,5,3,9,22.0,3508579.67
Centro,190,4,5,2,2,2.0,1345144.42
Grajau,146,5,6,0,9,13.0,1051488.82
Recreio,263,5,6,2,19,25.0,2112780.9
Santa Teresa,232,3,3,0,23,21.0,2334343.79
Barra da Tijuca,254,4,5,0,5,49.0,2561239.61
Ipanema,192,3,5,2,8,35.0,3383505.7
Recreio,101,3,5,1,21,59.0,865245.69
Ipanema,48,4,4,1,7,10.0,955965.54
Ipanema,117,4,6,3,6,22.0,1641827.01
Grajau,196,5,5,0,20,5.0,1197992.27
Laranjeiras,162,4,5,0,12,1.0,1550717.23
Botafogo,189,4,4,2,14,55.0,1784424.6
Vila Isabel,115,5,5,1,12,29.0,722657.89
Ipanema,329,1,1,3,15,39.0,6821362.57
Tijuca,144,4,4,0,6,16.0,1090194.01
Flamengo,300,2,4,1,18,3.0,3062749.23
Tijuca,152,3,4,0,9,53.0,726751.41
Flamengo,169,4,5,0,13,39.0,1705425.93
Grajau,221,2,3,1,4,42.0,1245439.24
Copacabana,110,5,6,2,0,32.0,858298.83
Copacabana,96,3,3,0,14,24.0,1088345.19
Santa Teresa,148,2,2,3,3,,894481.23
Jacarepagua,286,2,4,2,22,45.0,1381940.79
Jacarepagua,71,3,3,1,23,13.0,444528.14
Recreio,167,5,6,3,7,20.0,1142731.56
Recreio,243,1,3,1,7,18.0,1803098.21
Flamengo,254,3,3,0,12,31.0,2021138.4
Meier,166,5,5,3,5,58.0,592946.86
Leblon,51,3,3,0,21,55.0,762951.51
Centro,30,3,4,3,2,32.0,141653.41
Flamengo,177,2,2,3,11,12.0,1519738.17
Ipanema,288,1,3,3,4,56.0,4142109.86
Barra da Tijuca,34,4,5,1,20,18.0,455768.36
Laranjeiras,313,5,6,2,3,21.0,3185276.76
Centro,244,3,5,3,11,53.0,1456496.34
Leblon,27,3,4,0,20,15.0,665800.78
Copacabana,136,1,2,1,11,27.0,1589759.4
Meier,96,5,5,1,4,55.0,433816.37
Recreio,333,5,5,2,3,19.0,2781998.03
Santa Teresa,205,5,6,2,15,37.0,1447664.3
Jacarepagua,130,2,3,3,3,2.0,780335.24
Grajau,115,4,5,1,8,59.0,499773.57
Botafogo,208,3,3,0,15,25.0,2422972.11
Recreio,26,2,4,0,9,40.0,183888.71
Leblon,108,2,3,3,20,30.0,2704589.01
Meier,78,2,3,1,17,26.0,460542.82
Leblon,226,3,4,2,3,24.0,4024013.63
Jacarepagua,242,1,2,2,20,1.0,1886402.83
Barra da Tijuca,176,4,5,3,22,16.0,1439027.41
Leblon,70,3,5,0,5,22.0,1811620.99
Ipanema,145,5,6,0,8,22.0,1930800.37
Jacarepagua,298,2,2,2,9,16.0,1846646.63
Santa Teresa,91,1,3,1,10,38.0,658860.11
Leblon,78,2,2,3,11,49.0,1597227.55
Recreio,61,5,5,0,22,53.0,402161.51
Botafogo,290,2,2,1,16,58.0,1658871.66
Vila Isabel,63,4,6,3,22,38.0,350106.25
Recreio,214,5,6,3,8,24.0,1610021.27
Santa Teresa,349,2,2,0,13,38.0,1668191.18
Botafogo,233,4,6,3,2,,2515028.88
Ipanema,159,2,2,0,6,49.0,1866466.5
Meier,92,2,4,0,14,32.0,499072.68
Centro,25,2,4,3,4,,140721.61
Santa Teresa,75,4,4,0,24,25.0,760968.57
Grajau,334,5,6,1,6,18.0,2107198.63
Grajau,71,2,3,0,4,20.0,485700.64
Centro,31,2,2,2,19,3.0,194203.15
Barra da Tijuca,290,5,6,0,2,0.0,2880562.26
Recreio,161,3,4,1,8,20.0,1241582.98
Leblon,141,3,3,1,4,,3204669.23
Recreio,258,4,6,2,17,59.0,1828954.45
Barra da Tijuca,194,1,1,1,21,15.0,2464401.45
Copacabana,322,5,6,0,4,19.0,2787451.98
Botafogo,176,2,4,1,10,54.0,1627395.07
Meier,256,4,5,1,11,51.0,1176286.7
Barra da Tijuca,310,3,3,1,17,3.0,4851842.49
Santa Teresa,175,4,4,2,8,5.0,1361230.55
Jacarepagua,117,4,4,1,13,5.0,544768.22
Santa Teresa,341,1,2,1,12,27.0,2701567.61
Centro,98,1,3,3,0,34.0,487370.69
Copacabana,37,5,5,1,14,21.0,513957.48
Botafogo,212,3,5,1,14,,2505994.37
Flamengo,345,2,2,0,24,12.0,3607388.55
Meier,53,1,1,2,12,36.0,269229.88
Tijuca,301,1,2,2,22,22.0,2030494.31
Jacarepagua,294,5,6,2,8,7.0,1599032.96
Grajau,326,5,6,0,17,39.0,1963887.77
Barra da Tijuca,162,2,3,1,22,,1652234.77
Copacabana,107,2,2,1,3,29.0,1075995.57
Tijuca,191,3,3,3,14,56.0,1424672.41
Santa Teresa,71,1,3,1,22,50.0,546812.97
Laranjeiras,298,3,3,1,13,2.0,3122782.59
Vila Isabel,240,4,6,1,22,54.0,1558281.84
Grajau,182,5,6,3,10,2.0,1160458.67
Ipanema,192,2,4,2,22,28.0,4531528.23
Tijuca,256,1,1,3,15,54.0,1402642.75
Copacabana,195,1,1,1,11,58.0,2279610.73
Copacabana,297,2,2,3,5,,4724959.38
Vila Isabel,325,4,5,3,4,4.0,1556322.53
Santa Teresa,333,1,2,2,7,14.0,3128528.16
Leblon,226,4,4,2,18,16.0,4773589.29
Flamengo,266,3,4,3,11,16.0,2361839.2
Meier,126,4,4,3,9,25.0,683528.35
Ipanema,37,3,4,1,11,19.0,539743.15
Grajau,155,1,1,2,8,34.0,1007095.46
Grajau,308,1,3,1,20,51.0,1517506.72
Meier,68,3,3,0,9,32.0,337017.39
Flamengo,202,3,5,1,11,19.0,2314961.65
Barra da Tijuca,87,5,5,3,13,34.0,1057710.5
Laranjeiras,164,5,5,3,16,37.0,1297341.48
Recreio,71,1,1,3,8,53.0,498779.59
Santa Teresa,263,2,3,3,1,56.0,1201259.1
Copacabana,288,2,4,2,17,16.0,3015696.53
Leblon,271,1,1,3,14,55.0,4326520.26
Santa Teresa,254,1,3,0,16,49.0,1852451.78
Tijuca,101,1,3,1,13,7.0,825888.94
Tijuca,197,3,4,0,12,33.0,1412713.66
Laranjeiras,59,1,2,3,23,9.0,594382.99
Leblon,146,1,3,2,1,29.0,2433719.08
Jacarepagua,189,1,3,3,2,2.0,1386989.98
Tijuca,242,4,4,1,23,17.0,1657891.88
Leblon,56,4,6,1,22,35.0,1199118.21
Santa Teresa,289,5,6,2,10,18.0,2171968.17
Leblon,174,1,1,2,13,0.0,4421103.27
Ipanema,311,2,4,1,11,23.0,4752006.68
Flamengo,196,3,5,1,24,,2135133.45
Grajau,202,4,5,2,11,45.0,1395140.31
Ipanema,250,1,3,0,18,8.0,5408991.32
Flamengo,291,2,2,0,9,28.0,2677050.66
Meier,76,3,5,0,9,11.0,385843.44
Vila Isabel,191,1,2,0,16,9.0,1822533.07
Ipanema,34,2,2,0,9,7.0,525358.03
Santa Teresa,179,4,5,0,0,45.0,1256498.28
Centro,289,3,3,0,4,55.0,1346302.16
Vila Isabel,306,3,4,3,21,39.0,1752668.43
Barra da Tijuca,117,3,5,0,9,22.0,1453895.94
Santa Teresa,150,5,6,2,2,56.0,805854.86
Centro,204,3,5,0,23,29.0,1241617.53
Ipanema,153,3,4,3,24,31.0,2730250.62
Grajau,82,5,6,0,12,38.0,690783.15
Laranjeiras,124,1,1,2,15,,1183153.06
Tijuca,156,1,3,2,18,29.0,1174757.85
Meier,193,3,4,3,1,28.0,996661.82
Barra da Tijuca,324,2,4,2,7,19.0,5033897.42
Meier,202,2,2,2,14,40.0,812582.32
Santa Teresa,150,1,1,3,13,40.0,994376.11
Grajau,239,5,6,3,8,26.0,1080696.3
Botafogo,276,4,6,1,0,42.0,2599467.83
Santa Teresa,164,4,6,3,23,8.0,1583036.6
Recreio,184,1,2,3,15,24.0,1258588.89
Flamengo,95,2,3,2,18,59.0,887174.68
Laranjeiras,306,4,5,3,10,44.0,2124103.02
Jacarepagua,306,3,5,0,12,43.0,1449255.49
Recreio,81,4,4,2,11,51.0,550849.14
Recreio,137,4,4,2,10,36.0,1242393.94
Vila Isabel,113,3,3,3,16,39.0,556370.84
Barra da Tijuca,324,4,5,0,24,28.0,4234236.77
Tijuca,46,2,4,3,19,49.0,318370.02
Barra da Tijuca,92,1,2,0,16,42.0,1107439.56
Leblon,127,5,6,1,0,31.0,2575326.42
Barra da Tijuca,207,1,2,2,12,,3067042.46
Ipanema,105,2,2,1,23,48.0,1468320.58
Ipanema,199,1,3,3,9,19.0,4245212.07
Flamengo,267,2,4,3,13,21.0,2502546.35
Ipanema,294,2,4,0,8,7.0,5116787.66
Meier,57,1,3,1,4,13.0,359422.91
Laranjeiras,70,3,4,0,17,7.0,630414.75
Flamengo,55,5,6,2,7,5.0,581682.81
Recreio,320,1,2,3,14,1.0,2581865.12
Leblon,236,5,6,2,14,17.0,7004104.95
Grajau,197,3,4,0,21,45.0,1589898.88
Vila Isabel,282,3,5,0,23,,1497448.89
Centro,215,3,3,0,13,13.0,1384717.11
Ipanema,101,2,2,1,1,25.0,1599950.69
Copacabana,190,1,1,2,14,49.0,1745585.29
Tijuca,253,3,4,0,22,,1693776.3
Leblon,36,5,6,3,11,54.0,606244.02
Vila Isabel,222,3,4,1,14,25.0,1042843.5
Botafogo,186,3,5,2,19,10.0,2212322.41
Tijuca,47,4,5,2,10,8.0,353065.87
Santa Teresa,110,2,4,2,10,42.0,764144.08
Vila Isabel,170,1,3,1,12,1.0,1151892.11
Botafogo,136,3,3,1,21,27.0,1352626.04
Barra da Tijuca,119,5,6,1,12,21.0,1660246.71
Jacarepagua,235,2,2,0,8,55.0,1148159.48
Centro,156,5,6,1,14,59.0,853928.0
Santa Teresa,186,5,6,3,17,29.0,1482817.69
Grajau,284,2,2,3,22,34.0,1777255.62
Santa Teresa,55,3,5,3,22,22.0,474890.17
Copacabana,141,4,5,1,19,46.0,1002775.48
Botafogo,48,3,3,1,19,17.0,695948.57
Meier,326,4,4,0,11,44.0,1536185.23
Copacabana,85,5,5,1,8,54.0,1028125.15
Barra da Tijuca,291,4,4,2,14,10.0,3343970.03
Leblon,87,5,5,1,17,13.0,1616184.48
Grajau,130,5,5,2,12,22.0,905603.85
Copacabana,222,5,6,0,5,49.0,2173713.41
Leblon,295,5,6,1,0,38.0,5523617.84
Leblon,82,2,4,1,1,11.0,1761060.41
Leblon,94,1,2,1,10,22.0,1750466.2
Meier,311,1,3,0,19,38.0,1179106.75
Barra da Tijuca,129,2,4,1,19,57.0,1368730.25
Grajau,93,4,4,3,20,27.0,500255.78
Botafogo,266,3,5,3,17,4.0,2468591.24
Meier,54,3,5,1,0,6.0,271641.57
Centro,306,1,2,1,22,1.0,2158761.82
Centro,309,4,5,2,23,7.0,2589652.16
Laranjeiras,303,2,3,1,21,24.0,3210203.26
Botafogo,120,4,4,2,11,16.0,1556626.04
Jacarepagua,62,1,1,1,5,18.0,381004.42
Vila Isabel,163,2,2,3,22,45.0,961589.37
Vila Isabel,133,1,1,2,4,28.0,1043375.33
Centro,336,2,3,3,19,43.0,1389046.09
Centro,230,5,6,3,24,32.0,1217829.21
Vila Isabel,331,3,3,1,22,12.0,2132009.59
Centro,269,3,3,1,13,56.0,1403497.16
Santa Teresa,257,2,4,0,20,28.0,1659421.4
Ipanema,61,2,4,2,20,50.0,1009582.91
Barra da Tijuca,47,4,5,2,24,5.0,725224.4
Ipanema,40,5,6,1,9,50.0,633145.79
Ipanema,217,4,5,0,15,42.0,3712854.06
Jacarepagua,90,4,4,3,20,14.0,679889.78
Botafogo,346,3,5,0,5,47.0,2962350.79
Recreio,68,1,3,2,5,44.0,498859.77
Recreio,332,4,5,0,9,53.0,1928036.22
Centro,241,5,6,0,9,12.0,1214845.74
Santa Teresa,59,3,3,3,18,53.0,478246.39
Vila Isabel,43,1,2,2,23,45.0,212101.14
Barra da Tijuca,153,4,5,0,3,20.0,1991736.44
Tijuca,135,5,6,0,8,21.0,1017506.0
Laranjeiras,127,2,2,1,23,15.0,1463667.75
Ipanema,196,1,3,2,14,28.0,2438971.9
Meier,67,4,5,1,5,53.0,314731.04
Recreio,67,2,2,3,15,50.0,455162.48
Leblon,250,4,6,2,21,8.0,5309383.54
Centro,346,4,5,2,9,7.0,2014727.7
Tijuca,114,2,3,1,12,3.0,1031535.15
Leblon,327,1,2,2,15,36.0,7037086.47
Centro,137,3,4,3,21,,810701.6
Leblon,134,3,3,0,14,45.0,2026924.73
Flamengo,54,5,5,2,23,45.0,391835.66
Leblon,162,2,4,3,18,11.0,4085765.35
Recreio,186,2,3,1,10,41.0,1066796.63
Vila Isabel,240,5,6,3,12,45.0,1258827.04
Botafogo,76,4,4,1,17,59.0,896650.01
Laranjeiras,86,4,6,0,1,43.0,688983.33
Flamengo,165,5,6,3,5,,1682196.66
Grajau,47,4,6,1,5,59.0,199905.47
Leblon,71,5,6,3,20,16.0,1289736.54
Flamengo,229,4,5,1,20,48.0,2142973.03
Santa Teresa,335,3,5,1,20,22.0,2512598.12
Laranjeiras,211,1,3,2,2,56.0,1714285.75
Leblon,72,4,5,1,7,46.0,1289471.84
Vila Isabel,347,4,6,3,7,35.0,2953302.96
Ipanema,194,5,6,0,0,12.0,3049922.95
Meier,257,4,6,0,6,11.0,1456137.06
Jacarepagua,89,3,3,0,10,56.0,355614.03
Jacarepagua,212,3,3,1,22,48.0,1255277.53
Jacarepagua,49,1,1,0,4,30.0,275564.33
Copacabana,228,1,3,1,21,52.0,1948225.6
Jacarepagua,90,1,1,0,20,46.0,442472.74
Santa Teresa,320,5,5,3,3,23.0,2807275.15
Recreio,42,4,4,0,6,49.0,333910.49
Tijuca,237,2,2,3,11,47.0,1151735.78
Santa Teresa,70,3,5,3,23,28.0,507506.02
Ipanema,248,3,5,2,19,1.0,6265386.8
Jacarepagua,185,2,4,3,24,44.0,959924.69
Jacarepagua,339,3,3,3,7,20.0,1975219.86
Jacarepagua,236,2,3,3,22,21.0,1644517.73
Grajau,145,4,6,2,23,42.0,728818.27
Recreio,53,4,5,2,14,48.0,320203.55
Santa Teresa,218,1,3,1,3,5.0,1667993.46
Ipanema,168,3,4,2,6,49.0,2811809.2
Laranjeiras,42,5,5,1,3,17.0,432802.53
Meier,213,5,6,0,20,33.0,1208335.84
Botafogo,93,4,6,3,7,52.0,778913.33
Botafogo,101,4,6,2,17,13.0,1334955.56
Flamengo,27,1,2,2,6,13.0,257970.15
Centro,145,5,6,1,24,58.0,762179.18
Centro,95,4,6,3,19,22.0,639820.66
Copacabana,48,5,6,2,9,56.0,550188.93
Meier,166,5,6,0,11,21.0,867725.16
Santa Teresa,96,2,2,3,1,37.0,604270.37
Copacabana,68,1,3,3,3,30.0,851324.8
Jacarepagua,176,4,6,3,24,59.0,1017906.09
Jacarepagua,45,3,3,1,20,33.0,231501.8
Grajau,346,1,1,0,20,30.0,1923174.61
Tijuca,178,2,2,0,16,27.0,1493913.46
Jacarepagua,348,5,6,2,5,22.0,1464280.74
Flamengo,311,2,2,3,2,26.0,2079846.11
Copacabana,343,2,4,0,18,27.0,3782803.39
Vila Isabel,201,4,6,2,8,45.0,1069219.95
Vila Isabel,162,4,4,0,0,2.0,876724.75
Flamengo,258,2,4,3,0,30.0,2265982.27
Centro,51,5,5,0,13,32.0,284689.43
Laranjeiras,298,3,5,3,21,45.0,2249699.93
Laranjeiras,130,1,2,0,9,39.0,1355801.69
Grajau,27,2,2,1,24,25.0,197160.06
Recreio,102,5,6,2,9,6.0,1027597.82
Recreio,103,1,3,3,18,22.0,663803.37
Centro,29,1,3,1,6,15.0,129352.61
Leblon,242,4,4,3,15,12.0,5751165.76
Vila Isabel,55,3,5,0,6,43.0,369480.46
Laranjeiras,300,2,2,1,19,28.0,2277268.34
Centro,172,3,4,3,11,,850814.19
Tijuca,258,1,1,1,1,8.0,1521020.05
Barra da Tijuca,135,2,4,2,6,59.0,1137022.08
Recreio,67,2,4,1,8,28.0,524115.3
Centro,83,3,4,1,11,15.0,450075.45
Laranjeiras,234,4,6,3,6,21.0,1647966.41
Flamengo,257,5,6,2,14,50.0,1651615.4
Grajau,111,1,1,2,24,42.0,492997.96
Santa Teresa,141,2,2,2,17,10.0,1245803.6
Flamengo,332,2,2,3,7,59.0,2639668.89
Barra da Tijuca,301,3,4,1,16,7.0,4440604.97
Meier,159,3,4,3,24,16.0,778198.13
Recreio,103,5,5,2,6,43.0,814700.28
Centro,122,5,6,3,5,,701218.52
Vila Isabel,199,4,4,3,0,26.0,1126576.31
Barra da Tijuca,209,1,3,0,21,55.0,2125452.28
Jacarepagua,84,1,3,1,20,47.0,382820.96
Copacabana,46,5,6,1,10,57.0,426359.18
Laranjeiras,185,5,5,1,21,16.0,2220098.81
Jacarepagua,284,2,4,1,16,51.0,1605045.17
Recreio,74,1,2,0,24,12.0,636761.39
Jacarepagua,157,4,6,3,23,48.0,862744.05
Botafogo,77,3,5,3,23,32.0,662235.5
Meier,103,5,6,2,9,35.0,541877.86
Laranjeiras,223,3,3,1,15,6.0,1933753.15
Barra da Tijuca,118,4,6,3,4,52.0,1277746.43
Ipanema,110,4,5,1,22,16.0,2922484.91
Barra da Tijuca,348,1,3,1,7,35.0,3532642.74
Leblon,81,1,3,3,11,9.0,2582553.9
Barra da Tijuca,86,4,4,3,14,55.0,931116.88
Centro,327,1,3,2,19,19.0,1725669.17
Ipanema,203,2,2,0,18,45.0,2718414.35
Laranjeiras,38,4,4,0,23,45.0,422611.0
Botafogo,163,2,2,3,17,33.0,1744535.77
Grajau,208,1,3,1,19,7.0,1407863.28
Flamengo,107,1,1,2,14,16.0,1021162.0
Tijuca,203,3,5,1,10,36.0,1395576.32
Meier,235,4,4,1,22,32.0,1203550.57
Ipanema,106,4,5,3,9,35.0,1730281.72
Ipanema,289,5,5,2,15,14.0,6584302.1
Santa Teresa,172,4,5,1,7,32.0,993886.65
Vila Isabel,338,4,5,1,12,5.0,2490154.09
Leblon,53,2,4,0,9,29.0,1030400.23
Tijuca,130,2,4,2,6,5.0,905848.18
Leblon,259,2,4,2,20,,5857039.92
Barra da Tijuca,315,1,2,0,19,34.0,2905883.65
Tijuca,97,5,5,1,17,51.0,379316.98
Tijuca,343,2,2,2,2,27.0,2323159.13
Jacarepagua,87,3,5,0,6,9.0,502822.72
Leblon,160,2,3,3,5,14.0,2674530.33
Grajau,127,1,3,3,17,48.0,544976.35
Flamengo,162,5,6,2,22,57.0,1658049.06
Laranjeiras,318,2,3,0,9,3.0,3325558.83
Leblon,263,1,3,2,8,40.0,4828138.04
Flamengo,283,2,4,3,13,28.0,3445507.23
Vila Isabel,107,1,1,0,24,,831003.23
Leblon,332,5,6,3,9,30.0,8209579.24
Laranjeiras,166,1,1,3,6,56.0,962509.22
Barra da Tijuca,236,2,4,0,13,11.0,2523868.26
Laranjeiras,251,2,2,0,22,50.0,2168839.31
Jacarepagua,240,1,3,2,18,5.0,1625509.95
Vila Isabel,220,1,3,3,12,43.0,1412949.49
Leblon,181,3,3,3,18,4.0,3213070.62
Barra da Tijuca,235,2,3,2,0,3.0,3326762.16
